,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
69,Numa l Libusa Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html,Prague,363 ,,2022/01/01,2022/01/05,$67,Official Site,0,
70,Ibis Praha Wenceslas Square,https://www.tripadvisor.com/Hotel_Review-g274707-d651052-Reviews-Ibis_Praha_Wenceslas_Square-Prague_Bohemia.html,Prague,2014 ,,2022/01/01,2022/01/05,$48,Tripadvisor,16,
71,Aurea Legends,https://www.tripadvisor.com/Hotel_Review-g274707-d18931244-Reviews-Aurea_Legends-Prague_Bohemia.html,Prague,22 ,,2022/01/01,2022/01/05,$68,Tripadvisor,10,
72,Aquapalace Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1204609-Reviews-Aquapalace_Hotel_Prague-Prague_Bohemia.html,Prague,428 ,,2022/01/01,2022/01/05,$113,Tripadvisor,10,
73,Adria Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275238-Reviews-Adria_Hotel_Prague-Prague_Bohemia.html,Prague,961 ,,2022/01/01,2022/01/05,$68,Tripadvisor,15,
74,Adeba Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d632867-Reviews-Adeba_Hotel-Prague_Bohemia.html,Prague,813 ,,2022/01/01,2022/01/05,$30,Booking.com,15,
75,Four Trees,https://www.tripadvisor.com/Hotel_Review-g274707-d12200481-Reviews-Four_Trees-Prague_Bohemia.html,Prague,204 ,,2022/01/01,2022/01/05,$91,Tripadvisor,12,
76,Boutique Hotel Seven Days,https://www.tripadvisor.com/Hotel_Review-g274707-d280294-Reviews-Boutique_Hotel_Seven_Days-Prague_Bohemia.html,Prague,2299 ,,2022/01/01,2022/01/05,$64,Agoda.com,13,
77,Hotel Monastery,https://www.tripadvisor.com/Hotel_Review-g274707-d619505-Reviews-Hotel_Monastery-Prague_Bohemia.html,Prague,531 ,,2022/01/01,2022/01/05,$62,Tripadvisor,17,
78,Miss Sophie's New Town,https://www.tripadvisor.com/Hotel_Review-g274707-d554165-Reviews-Miss_Sophie_s_New_Town-Prague_Bohemia.html,Prague,802 ,,2022/01/01,2022/01/05,$48,Booking.com,14,
79,Euroagentur Hotel Downtown,https://www.tripadvisor.com/Hotel_Review-g274707-d1056330-Reviews-Euroagentur_Hotel_Downtown-Prague_Bohemia.html,Prague,374 ,,2022/01/01,2022/01/05,$41,Booking.com,13,
80,Chevron Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d19272386-Reviews-Chevron_Hotel-Prague_Bohemia.html,Prague,14 ,,2022/01/01,2022/01/05,$31,Tripadvisor,11,
81,Hotel Golden Star,https://www.tripadvisor.com/Hotel_Review-g274707-d276538-Reviews-Hotel_Golden_Star-Prague_Bohemia.html,Prague,647 ,,2022/01/01,2022/01/05,,Hotels.com,17,
